movie,platform,genre1,genre2,,,
Andaz Apna Apna,Netflix,Comedy,Romance,,,
Golmaal (1979),Prime Video,Comedy,na,,,
Dhamaal,Prime Video,Comedy,na,,,
De Dana Dan,Hotstar,Comedy,na,,,
Munnabhai MBBS,Prime Video,Comedy,Drama,,,
Lage Raho Munnabhai,Prime Video,Comedy,Drama,,,
Hera Pheri,Prime Video,Comedy,na,,,
Phir Hera Pheri,Netflix/Prime Video,Comedy,na,,,
3 Idiots,Prime Video,Comedy,na,,,
Chachi 420,YouTube,Comedy,na,,,
Delhi Belly,Netflix,Comedy,Action,,,
Bombay to Goa,Prime Video,Comedy,Action,,,
Welcome,Netflix/Prime Video,Comedy,na,,,
All the Best,Prime Video,Comedy,na,,,
Partner,Prime Video Premium,Comedy,na,,,
Bhool Bhulaiya,YouTube,Comedy,Horror,,,
Khatta Meetha,Hotstar,Comedy,na,,,
Chup Chup Ke,YouTube,Comedy,Romance,,,
Housefull,Hotstar,Comedy,na,,,
Housefull 2,Hotstar,Comedy,na,,,
Singh is King,YouTube,Comedy,Action,,,
Angrezi Medium,Hotstar,Comedy,na,,,
Tanu weds Manu ,Netflix,Comedy,Romance,,,
Tanu weds Manu Returns,Prime Video,Comedy,Romance,,,
Hindi Medium,Prime Video,Comedy,na,,,
Thank You,Netflix,Comedy,Drama,,,
Chhichhore,Hotstar,Comedy,Drama,,,
Sonu Ke Titu Ki Sweety,Prime Video,Comedy,Romance,,,
PK,Netflix,Comedy,na,,,
Bol Bachhan,Hotstar,Comedy,na,,,
Fukrey,Hotstar,Comedy,na,,,
Heyy Baby,Prime Video Premium,Comedy,Romance,,,
Queen,Netflix,Comedy,Drama,,,
Vicky Donor,YouTube paid,Comedy,Romance,,,
Badhaai Ho,Hotstar,Comedy,Drama,,,
Chennai Express,Hotstar,Comedy,na,,,
Stree,Netflix,Horror,Comedy,,,
Go Goa Gone,Prime Video Premium,Horror,Comedy,,,
The Nun,Netflix,Horror,na,,,
Annabelle,Netflix,Horror,na,,,
The Babysitter,Netflix,Horror,Comedy,,,
Kaabil,Hotstar,Action,na,,,
Bang Bang,Hotstar,Action,Romance,,,
Rowdy Rathore,Netflix,Action,na,,,
Singham,Netflix,Action,na,,,
Simmba,Zee5,Action,na,,,
Dabangg,na,Action,Comedy,,,
Ek Tha Tiger,Prime Video,Action,na,,,
Kick,Hotstar,Action,na,,,
Wanted,na,Action,na,,,
Don,Netflix,Action,na,,,
Don 2,Netflix,Action,na,,,
Kaminey,Netflix,Action,na,,,
Ghajini,na,Action,Romance,,,
Race,Netflix,Action,na,,,
Race 2,Netflix,Action,na,,,
Race 3,Prime Video,Action,na,,,
Dhoom,Prime Video,Action,na,,,
Dhoom 2,Prime Video,Action,na,,,
Shootout at Lokhandwala,na,Action,na,,,
Gangaajal,na,Action,na,,,
Aan Men at work,Prime Video,Action,na,,,
Gadar,YouTube,Action,Romance,,,
Vaastav,Prime Video,Action,na,,,
Sarfarosh,na,Action,na,,,
Mohra,na,Action,na,,,
Uri: The Surgical Strike,na,Action,na,,,
Baby,Hotstar,Action,Thriller,,,
Naam Shabana,Netflix,Action,Thriller,,,
Holiday,na,Action,na,,,
Dishoom,Hotstar,Action,Comedy,,,
Agent Vinod,Prime Video,Action,na,,,
Kurbaan,Netflix,Action,Thriller,,,
Kahaani,Netflix,Thriller,Mystery,,,
Gangs of Wasseypur,Netflix,Action,na,,,
Andhadhun,Netflix,Thriller,na,,,
Raazi,Prime Video,Action,na,,,
Article 15,Netflix,Crime,Action,,,
Yeh Jawaani Hai Deewani,Netflix,Drama,na,,,
History,Hotstar,Drama,na,,,
Udaan,Netflix,Drama,na,,,
Mere Brother Ki Dulhan,Prime Video,Drama,Comedy,,,
Zindagi Na Milegi Dobara,Netflix,Drama,Comedy,,,
Rockstar,YouTube Paid,Drama,Musical,,,
Tamasha,Netflix,Drama,na,,,
Barfi,Netflix,Drama,na,,,
English Vinglish,Prime Video Premium,Drama,Comedy,,,
Lootera,na,Drama,na,,,
The Lunchbox,Netflix,Drama,na,,,
Piku,YouTube Paid,Drama,Comedy,,,
Masaan,Netflix/Hotstar,Drama,na,,,
Udta Punjab,Netflix,Drama,na,,,
Dear Zindagi,Netflix,Drama,na,,,
Gully Boy,Prime Video,Drama,Musical,,,
Student of the Year,Netflix,Drama,na,,,
Dil Dhadakne Do,Netflix,Drama,na,,,
Kai Po Che,Netflix,Drama,na,,,
Mr. India,na,Drama,Comedy,,,
Dil Chahta Hai,Netflix,Drama,Comedy,,,
Om Shanti Om,Netflix,Drama,Romance,,,
Kuch Kuch Hota hai,Netflix,Drama,Comedy,,,
Kal Ho Na Ho,Prime Video,Drama,Romance,,,
Jab we met,Netflix,Drama,Romance,,,
Oh My God,Netflix,Drama,Comedy,,,
Taare Zameen Par,Netflix,Drama,na,,,
Jodha Akbar ,Netflix,Drama,na,,,
Rang De Basanti,Netflix,Drama,Action,,,
Bahubali,Netflix,Drama,Action,,,
Bahubali 2,Netflix,Drama,Action,,,
Soorma,Netflix,Sports,Biography,,,
Dangal,Netflix,Sports,Biography,,,
Lagaan,Netflix,Sports,Drama,,,
Chak De India,Prime Video,Sports,Drama,,,
MS Dhoni The Untold Story,Hotstar,Sports,Biography,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
