Quote,Author,Votes
I think that little by little I will be able to solve my problems and survive.,Frida Kahlo,0
"Suffering has been stronger than all other teachings and has taught me to understand what your heart used to be. I have been bent and broken, but – I hope – into a better shape.",Charles Dickens,0
"Self-care is never a selfish act—it is simply good stewardship of the only gift I have, the gift I was put on earth to offer to others.",Parker Palmer,0
"Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy.",Thich Nhat Hanh,0
In three words I can sum up everything I have learned about life. It goes on.,Robert Frost,0
Imagination has a great deal to do with winning.,Mike Krzyzewski,0
"In times of great stress or adversity, it is always best to keep busy, to plow your anger and your energy into something positive.",Lee Iacocca,0
Never let your head hang down. Never give up and sit down and grieve. Find another way.,Leroy Satchel Paige,0
"We must understand that sadness is an ocean, and sometimes we drown, while other days we are forced to swim.",R.M. Drake,0
Sadness flies away on the wings of time.,Jean deLaFontaine,0
"Pain insists upon being attended to. God whispers to us in our pleasures, speaks in our consciences, but shouts in our pains. It is his megaphone to rouse a deaf world.",C.S. Lewis,0
"What you thought before has led to every choice you have made, and this adds up to you at this moment. If you want to change who you are physically, mentally, and spiritually, you will have to change what you think.",Dr. Patrick Gentempo,0
"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.",Leo Buscaglia,0
"But I know, somehow, that only when it is dark enough can you see the stars.","Martin Luther King, Jr.",0
"Even from a dark night, songs of beauty can be born.",Mary Anne Radmacher,0
"We are not to blame for our illness, but we are responsible for our health.",Victoria Maxwell,0
Maybe you have to know the darkness before you can appreciate the light.,Madeleine L Engle,0
"Remember, no one can make you feel inferior without your consent.",Eleanor Roosevelt,0
"The harder you fall, the higher you bounce.",Unknown,0
"If you can find a path with no obstacles, it probably does not lead anywhere.",Frank A. Clark,0
"Even if you fall on your face, you are still moving forward.",Victor Kiam,0
Difficult roads lead to beautiful destinations. The best is yet to come.,Zig Ziglar,0
What people in the world think of you is really none of your business.,Martha,0
Nothing can bring you peace but yourself.,Ralph Waldo Emerson,0
The fear of being laughed at makes us a coward of all.,Mignon McLaughlin,0
"He who fears he will suffer, already suffers from his fear.",Michel de Montaigne,0
You say you are depressed – all I see is resilience. You are allowed to feel messed up and inside out. It does not mean you are defective – it just means you are human.,Les Brown,0
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,0
I am not afraid of storms for I am learning how to sail my ship.,Louisa May Alcott,0
"Worrying is like a rocking chair, it gives you something to do, but it gets you nowhere.",Glenn Turner,0
You cannot be strong all the time. Sometimes you just need to be alone and let your tears out,Unknown,0
The hardest walk you can make is alone. But it is the walk that will make you stronger.,Unknown,0
You are the worst person in the world.,Unknown,0
